City_ID,City,Lat,Lon,Max Tem,Humidity,Cloudiness,Wind Speed,Country,Date
80,Thompson,55.7435,-97.8558,48.36,76,20,5.75,CA,1659532637
81,Houston,29.7633,-95.3633,85.15,80,0,6.91,US,1659532605
82,Klaksvik,62.2266,-6.589,50.92,83,64,22.95,FO,1659532638
83,Naryan-Mar,67.6713,53.087,71.26,61,58,20.15,RU,1659532638
84,Port Macquarie,-31.4333,152.9167,52.9,93,0,0.0,AU,1659532639
85,Vaini,-21.2,-175.2,75.36,94,20,8.05,TO,1659532639
86,Bubaque,11.2833,-15.8333,80.51,72,100,6.4,GW,1659532639
87,Nata,8.3333,-80.5167,75.07,89,100,2.15,PA,1659532640
88,Poum,-20.2333,164.0167,74.68,86,0,9.01,NC,1659532640
89,Jalu,29.0331,21.5482,98.22,22,0,9.89,LY,1659532641
90,Srandakan,-7.9386,110.2506,76.86,89,94,8.16,ID,1659532641
91,Nikolskoye,59.7035,30.7861,77.88,41,34,6.73,RU,1659532643
92,Kodinsk,58.6881,99.1844,57.16,74,97,4.52,RU,1659532644
93,Ariquemes,-9.9133,-63.0408,85.14,44,35,0.76,BR,1659532548
94,Tarauaca,-8.1614,-70.7656,75.78,91,89,1.72,BR,1659532644
95,Batticaloa,7.7102,81.6924,83.53,64,100,13.13,LK,1659532645
96,Kuala Lipis,4.1842,102.0468,76.53,93,100,1.03,MY,1659532645
97,Makakilo City,21.3469,-158.0858,73.72,78,0,6.91,US,1659532646
98,Dingzhou,38.5131,114.9956,86.11,67,10,7.18,CN,1659532646
99,Tiarei,-17.5333,-149.3333,71.62,78,9,23.29,PF,1659532646
100,Slave Lake,55.2834,-114.769,51.78,93,100,4.61,CA,1659532647
101,Mukhen,48.1,136.1,67.91,96,0,5.21,RU,1659532647
102,Taoudenni,22.6783,-3.9836,112.84,10,4,4.36,ML,1659532648
103,Chumphon,10.3333,98.8333,73.15,91,100,2.1,TH,1659532648
104,Tasiilaq,65.6145,-37.6368,41.16,74,8,10.13,GL,1659532648
105,Beloha,-25.1667,45.05,76.62,43,0,13.53,MG,1659532649
106,Georgetown,5.4112,100.3354,82.33,80,20,0.0,MY,1659532408
107,Takoradi,4.8845,-1.7554,77.67,64,95,11.48,GH,1659532649
108,Port-Cartier,50.0334,-66.8654,66.31,51,6,5.77,CA,1659532650
109,Chuy,-33.6971,-53.4616,57.2,90,100,6.35,UY,1659532650
110,Ahtopol,42.1,27.95,79.92,53,0,10.45,BG,1659532650
111,Haines Junction,60.7522,-137.5108,49.95,93,100,2.3,CA,1659532651
112,Muswellbrook,-32.2667,150.9,49.33,91,0,4.68,AU,1659532651
113,Lagoa,39.05,-27.9833,75.09,82,10,9.31,PT,1659532651
114,Plyussa,58.4308,29.3654,73.94,60,100,4.99,RU,1659532652
115,Ilongero,-4.6667,34.8667,72.07,36,100,9.55,TZ,1659532652
116,Severo-Kurilsk,50.6789,156.125,51.51,86,87,6.67,RU,1659532653
117,College,64.8569,-147.8028,57.58,90,75,0.0,US,1659532569
118,Khujner,23.7833,76.6,86.27,68,100,2.06,IN,1659532653
119,Mezen,65.8522,44.24,72.63,47,23,13.62,RU,1659532654
120,Baker,30.5882,-91.1682,79.92,96,100,6.91,US,1659532654
121,Aldama,22.9167,-98.0667,79.38,91,15,3.98,MX,1659532654
122,Tobol,52.6844,62.5794,75.24,45,86,12.03,KZ,1659532655
123,Snihurivka,47.0758,32.8052,78.6,54,54,9.48,UA,1659532655
124,Samarai,-10.6167,150.6667,79.99,84,56,16.91,PG,1659532656
125,Hermanus,-34.4187,19.2345,57.79,73,11,12.33,ZA,1659532656
126,Bluff,-46.6,168.3333,44.8,81,100,10.54,NZ,1659532656
127,Puerto Ayacucho,5.6639,-67.6236,74.34,94,100,4.25,VE,1659532657
128,Ambanja,-13.6833,48.45,81.48,55,0,8.99,MG,1659532657
129,Yerbogachen,61.2767,108.0108,60.1,96,100,12.37,RU,1659532658
130,Novoagansk,61.9449,76.6625,70.03,47,0,9.82,RU,1659532658
131,Yunhe,34.0833,119.7167,80.46,93,0,9.17,CN,1659532658
132,Airai,-8.9266,125.4092,56.88,87,32,1.95,TL,1659532659
133,Hithadhoo,-0.6,73.0833,80.15,77,29,15.68,MV,1659532659
134,Tura,25.5198,90.2201,76.08,96,100,3.38,IN,1659532660
135,Deputatskiy,69.3,139.9,45.45,97,100,5.12,RU,1659532660
136,Talnakh,69.4865,88.3972,63.21,44,100,11.16,RU,1659532660
137,Khatanga,71.9667,102.5,52.0,60,94,7.34,RU,1659532661
138,Pacific Grove,36.6177,-121.9166,60.03,93,100,8.99,US,1659532568
139,Konongo,6.6167,-1.2167,84.6,52,82,3.62,GH,1659532663
140,Te Anau,-45.4167,167.7167,43.32,90,100,5.5,NZ,1659532664
141,Hilo,19.7297,-155.09,70.25,94,0,5.75,US,1659532489
142,Dhaulpur,26.7,77.9,91.9,53,100,3.0,IN,1659532664
143,Berlevag,70.8578,29.0864,51.8,93,75,6.91,NO,1659532664
144,Kruisfontein,-34.0033,24.7314,65.12,58,100,6.67,ZA,1659532665
145,Itapuranga,-15.5622,-49.9486,82.78,28,5,12.26,BR,1659532665
